myday;pm25;pm10;tmp;rh;rain;radsolar;co2;pressure;ws;no2;co;so2;o3
2021-01-01;17,54322761;25,30406271;15,25083333;62,76940476;0;208,575;470,1666667;563,7222222;1,576515152;11,8297215;0,457978277;1,516361196;21,06955387
2021-01-02;8,511421016;16,98665213;14,37291667;69,25892857;0,074242424;147,6833333;472,5416667;563,4583333;1,070075758;13,34387538;0,569337876;1,749720131;13,25500251
2021-01-03;7,106321999;14,14504742;14,81958333;66,72589286;0,003787879;182,3833333;464,125;563,2083333;1,385551948;11,46602577;0,476987311;1,558562033;21,06279967
2021-01-04;12,54927176;27,41057692;14,01380952;66,81869048;0,148106061;225,625;469,875;562,6111111;1,28241342;21,22847215;0,603087698;2,963189202;22,17023684
2021-01-05;18,81151059;37,65244387;13,69916667;66,94303571;0,181818182;247,2;476,8333333;562,5833333;1,240530303;28,32138312;0,729716203;2,480621874;28,79690058
2021-01-06;17,03772626;32,63182337;14,3125;64,2952381;0,099242424;215,9833333;472,5833333;563,1944444;1,126464646;26,95233199;0,665499684;2,12241608;22,05663719
2021-01-07;12,46298864;25,71193595;15,03458333;58,955;0,000378788;191,875;452,5416667;563,8055556;1,59469697;21,23486937;0,531445625;2,277313774;24,60437456
2021-01-08;15,68329355;32,05439698;13,18666667;68,13684524;0,122727273;129,1833333;474;563,7777778;1,007521645;24,52764737;0,590124092;3,076438834;22,0514088
2021-01-09;7,1620338;13,87364903;14,03041667;66,9510119;0,045833333;148,2916667;445,0416667;563,6111111;1,31504329;14,32243934;0,428400513;2,502325791;19,88963894
2021-01-10;5,624826664;10,08309838;14,66333333;65,45577381;0,003787879;174,0833333;448,875;563,5833333;1,413888889;9,845826274;0,367813804;2,150013764;21,50475025
2021-01-11;4,773064655;9,49254647;14,68916667;65,11053571;0,021590909;163,6666667;444,4166667;563,6666667;1,401515152;9,898756425;0,383556807;1,876655597;21,11441435
2021-01-12;8,957765509;21,47576245;14,92958333;54,75095238;0,003787879;274,775;451,4583333;563,5277778;1,803409091;17,3009802;0,50389867;2,673214886;24,22156366
2021-01-13;13,98804132;36,89257326;14,28416667;60,94732143;0;236,5416667;479,625;563,1527778;1,32405303;24,44676226;0,767117762;4,34464914;18,27486073
2021-01-14;22,01639118;48,94263697;14,41333333;63,86083333;0;201,4;494,6666667;562,8611111;1,261676548;30,93112981;0,896874125;5,184520319;25,19536148
2021-01-15;26,50086737;54,3170907;14,70333333;63,38208333;0;242,4;497,4166667;562,6666667;1,381818182;30,68876217;0,839340604;4,959600083;30,05905453
2021-01-16;22,65264258;43,44728481;14,52791667;63,85505952;0,000378788;236,475;482,8333333;563,0277778;1,353712121;22,16660226;0,609683581;3,453897428;27,85947205
2021-01-17;18,18914994;31,47606942;14,48375;63,13333333;0,000378788;237,4416667;475,8333333;562,7916667;1,215062389;16,89181377;0,502617529;3,514439926;27,15620577
2021-01-18;22,04805159;43,48008097;14,85083333;60,36553571;0,000378788;248,8833333;489,4583333;562,9861111;1,311363636;24,82921399;0,887691178;4,82376931;20,96324912
2021-01-19;25,95091376;54,15351569;14,19541667;62,48494048;0,000378788;251,575;493,1666667;562,9722222;1,290151515;28,80678725;0,975278015;5,175180377;24,41644651
2021-01-20;22,4344735;47,78288776;13,83166667;54,9939881;0,000378788;218,815942;490,7916667;562,9214976;1,477020202;25,59941816;0,90258754;5,873960084;19,15255944
2021-01-21;22,96966423;47,25065648;14,40987319;61,62077381;0,003787879;239,5333333;491,4166667;562,8472222;1,396742424;26,88844068;0,87874479;4,675899659;24,32856757
2021-01-22;19,48703531;39,02751613;14,23125;65,3697619;0,014772727;185,0166667;482,5833333;563,1388889;1,365151515;23,73742597;0,902908095;4,306572702;16,24638143
2021-01-23;11,74409722;22,99442945;14,78541667;66,87815476;0,022348485;169,8;464,375;563,2083333;1,417424242;16,16517435;0,813171656;3,220111874;15,95755386
2021-01-24;9,818402778;17,59622993;14,19875;65,46892857;0,003030303;104,0333333;465,4166667;563,0277778;1,30719697;13,46203972;0,760694979;3,46717936;16,63787967
2021-01-25;14,25308858;25,15537655;14,11291667;66,3348706;0,028030303;137,1876812;458,4;562,7107488;1,2631917;20,01417118;1,008507702;3,152732224;14,82633128
2021-01-26;16,10716914;32,15258159;13,97291667;62,30505952;0,000378788;237,025;478,4583333;563,0138889;1,584090909;21,19816288;0,975372296;6,045588857;17,42795621
2021-01-27;18,04076708;36,19284965;14,15958333;62,79886905;0,000757576;250,0666667;491,0833333;563,0138889;1,595730028;23,41033753;0,971001097;5,712600243;17,50145951
2021-01-28;27,01586845;54,28504197;14,07666667;65,54386905;0,000378788;219,25;497,1666667;563,0416667;1,273106061;30,84291483;1,013908888;5,842184306;30,11801654
2021-01-29;28,77825077;53,02776765;15,37375;60,5402381;0;266,1416667;479,3333333;562,375;1,612878788;27,3807217;0,932733691;4,56540277;33,82550319
2021-01-30;21,17027035;37,32832194;14,05708333;52,29880952;0,000378788;279,6333333;476,125;563,0694444;1,809469697;23,49992784;0,836851215;3,013809169;28,6373913
2021-01-31;11,42469636;23,3993365;13,61833333;56,08255952;0;219,6083333;460,9583333;563,2222222;1,675757576;15,47984415;0,684365266;3,715627223;24,94560329
2021-02-01;11,00892134;22,37269809;14,50672619;61,68113095;0,011525974;143,3333333;450,0416667;563,125;1,496807359;18,57338866;0,846652105;2,794962036;16,75598758
2021-02-02;13,38995122;27,48505171;15,38166667;58,88220238;0;156,7833333;483,7083333;563,0833333;1,462247475;19,51813859;0,900383084;3,457189501;17,47854187
2021-02-03;15,51627159;32,33534993;15,16190994;53,45715136;0;264,25;517,9166667;563,2777778;1,74745671;20,36231025;0,89498851;4,388953907;21,32242776
2021-02-04;17,79912108;38,30392436;15,27145833;55,77410455;0,003787879;267,3434783;532,2083333;563,7391304;1,744400527;20,91284515;0,936899741;5,92914197;18,14615906
2021-02-05;13,80747036;26,13288747;15,39;62,56696429;0,026893939;151,9916667;502,0416667;563,5694444;1,557575758;16,90889618;0,966717321;4,88504328;15,36052375
2021-02-06;17,76884058;32,59144316;15,44166667;64,72892857;0,064772727;191,8166667;535,1666667;563,6805556;1,238636364;21,407233;1,041423519;4,362027442;19,59194883
2021-02-07;14,79301307;27,22612082;15,41375;65,21184524;0,0875;215,4833333;542,2083333;563,375;1,304924242;16,00623762;0,911458553;4,103978049;16,92435657
